Mean Weight in Catch (kilograms)
1 3
1973 2016 
1 6 
1
0.21 0.296 0.348 0.374 0.382 0.428
0.203 0.308 0.352 0.396 0.439 0.457
0.218 0.289 0.376 0.432 0.435 0.481
0.228 0.303 0.408 0.498 0.499 0.557
0.215 0.283 0.381 0.504 0.513 0.542
0.234 0.292 0.383 0.536 0.662 0.656
0.189 0.301 0.364 0.475 0.59 0.662
0.206 0.281 0.384 0.5 0.682 0.925
0.14 0.262 0.342 0.474 0.596 0.65
0.226 0.263 0.353 0.499 0.66 0.833
0.175 0.261 0.339 0.496 0.668 0.819
0.182 0.237 0.295 0.388 0.487 0.656
0.183 0.26 0.365 0.408 0.504 0.608
0.186 0.284 0.331 0.463 0.587 0.642
0.247 0.268 0.353 0.404 0.52 0.631
0.27 0.293 0.396 0.493 0.611 0.821
0.061 0.216 0.275 0.489 0.735 0.957
0.204 0.255 0.29 0.366 0.613 0.884
0.09 0.214 0.294 0.378 0.664 0.798
0.11 0.303 0.375 0.447 0.631 0.918
0.122 0.314 0.42 0.439 0.64 1.04
0.078 0.247 0.321 0.387 0.48 0.622
0.076 0.216 0.325 0.401 0.579 0.758
0.102 0.335 0.368 0.457 0.604 0.74
0.139 0.251 0.396 0.466 0.584 0.768
0.16 0.287 0.367 0.494 0.567 0.726
0.131 0.309 0.4 0.557 0.629 1.695
0.185 0.321 0.444 0.561 0.667 0.752
0.145 0.36 0.419 0.567 0.684 0.824
0.164 0.33 0.438 0.574 0.764 0.751
0.095 0.313 0.413 0.572 0.722 0.945
0.136 0.295 0.436 0.54 0.581 0.799
0.102 0.295 0.415 0.511 0.634 0.795
0.11 0.251 0.373 0.475 0.607 0.783
0.111 0.268 0.363 0.472 0.628 0.834
0.151 0.266 0.388 0.461 0.574 1.077
0.105 0.281 0.367 0.502 0.601 0.753
0.099 0.281 0.414 0.47 0.573 0.702
0.13 0.28 0.412 0.491 0.572 0.717
0.12 0.251 0.365 0.475 0.554 0.709
0.154 0.254 0.351 0.453 0.565 0.683
0.156 0.345 0.396 0.459 0.565 0.689
0.046 0.281 0.388 0.476 0.548 0.685
0 0.27 0.349 0.434 0.521 0.629
