Year,1,2,3,4,5,6,7,8+,a50
1972,0,0,0,0.002,0.507,0.998,1,1,5
1973,0,0,0,0.002,0.507,0.998,1,1,5
1974,0,0,0,0.002,0.507,0.998,1,1,5
1975,0,0,0,0.002,0.507,0.998,1,1,5
1976,0,0,0,0.002,0.507,0.998,1,1,5
1977,0,0,0,0.002,0.507,0.998,1,1,5
1978,0,0,0,0.002,0.507,0.998,1,1,5
1979,0,0,0,0.008,0.154,0.813,0.991,1,5.54
1980,0,0,0.002,0.029,0.302,0.862,0.989,1,5.31
1981,0,0,0.005,0.104,0.716,0.982,0.999,1,4.7
1982,0,0,0.007,0.146,0.809,0.991,1,1,4.55
1983,0,0,0.007,0.146,0.809,0.991,1,1,4.55
1984,0,0,0.007,0.146,0.809,0.991,1,1,4.55
1985,0,0,0.007,0.146,0.809,0.991,1,1,4.55
1986,0,0,0.007,0.146,0.809,0.991,1,1,4.55
1987,0,0,0.007,0.146,0.809,0.991,1,1,4.55
1988,0.054,0.099,0.175,0.291,0.441,0.603,0.745,0.879,5.36
1989,0.054,0.099,0.175,0.291,0.441,0.603,0.745,0.879,5.36
1990,0.054,0.099,0.175,0.291,0.441,0.603,0.745,0.879,5.36
1991,0.018,0.045,0.111,0.247,0.463,0.687,0.849,0.951,5.16
1992,0.002,0.011,0.048,0.184,0.503,0.819,0.953,0.993,4.99
1993,0.001,0.007,0.049,0.282,0.751,0.959,0.994,1,4.46
1994,0,0.001,0.05,0.657,0.986,1,1,1,3.82
1995,0,0,0.006,0.803,1,1,1,1,3.79
1996,0,0,0.029,0.666,0.993,1,1,1,3.84
1997,0,0.008,0.111,0.67,0.971,0.998,1,1,3.75
1998,0,0.002,0.096,0.874,0.998,1,1,1,3.54
1999,0,0.001,0.13,0.902,0.999,1,1,1,3.46
2000,0,0.001,0.16,0.971,1,1,1,1,3.34
2001,0,0.001,0.315,0.998,1,1,1,1,3.12
2002,0,0.01,0.636,0.997,1,1,1,1,2.89
2003,0.001,0.024,0.513,0.978,0.999,1,1,1,2.99
2004,0,0,0.1,0.967,1,1,1,1,3.4
2005,0.041,0.171,0.502,0.83,0.959,0.991,0.998,1,3
2006,0,0.014,0.365,0.959,0.999,1,1,1,3.15
2007,0,0.012,0.261,0.92,0.997,1,1,1,3.31
2008,0,0.012,0.231,0.882,0.995,1,1,1,3.37
2009,0,0.01,0.181,0.83,0.991,1,1,1,3.49
2010,0,0.009,0.167,0.812,0.989,1,1,1,3.52
2011,0.001,0.008,0.072,0.428,0.878,0.986,0.999,1,4.13
2012,0,0,0.018,0.578,0.99,1,1,1,3.93
2013,0.004,0.037,0.285,0.804,0.977,0.998,1,1,3.39
2014,0,0.003,0.046,0.4,0.902,0.992,0.999,1,4.15
